Date,Predicted_Sales
2024-01-02,68.84
2024-01-03,77.93
2024-01-04,62.88
2024-01-05,63.93
2024-01-06,60.67
2024-01-07,83.69
2024-01-08,74.45
2024-01-09,76.98
2024-01-10,74.48
2024-01-11,66.62
2024-01-12,58.47
2024-01-13,69.04
2024-01-14,72.4
2024-01-15,69.44
2024-01-16,72.1
2024-01-17,70.13
2024-01-18,68.81
2024-01-19,65.98
2024-01-20,69.55
2024-01-21,69.48
2024-01-22,69.71
2024-01-23,71.13
2024-01-24,70.43
2024-01-25,68.96
2024-01-26,68.86
2024-01-27,69.7
2024-01-28,69.39
2024-01-29,69.84
2024-01-30,70.12
2024-01-31,70.0
